Question,Answer,Context
왜 일본의 경제 보복이 G20 회담에서 강조된 자유무역 원칙과 맞지 않는다고 생각하십니까?,"일본의 경제 보복은 대법원의 강제징용 판결과 관련된 문제로, G20 회담에서 강조된 자유무역 원칙과 상충된다고 봅니다.",G20 회담에서 자유무역과 경제 보복에 대한 논의에서 비롯됨【5†source】.
대북정책에 있어서 햇볕정책이 갖는 장점은 무엇인가요?,햇볕정책의 장점은 남북 간의 평화를 증진시키고 교류를 활성화하는 데 기여한 점입니다.,대북정책과 관련된 국정 감사에서 나옴 .
한국과 독일의 교육제도 차이점에 대한 의견은 무엇인가요?,"한국은 주입식 교육 중심인 반면, 독일은 창의적이고 실용적인 교육을 강조합니다.",교육제도 비교와 관련된 질문에서 출현 .
부동산 투기 문제에 대한 정부의 대책은 무엇인가요?,정부는 부동산 투기를 방지하기 위해 다주택자에 대한 세금을 강화하고 있습니다.,부동산 관련 국정 감사에서 언급됨 .
4차 산업혁명이 한국의 고용 시장에 미치는 영향은 무엇입니까?,"4차 산업혁명은 자동화로 인해 일자리 감소를 초래할 수 있지만, 새로운 직업의 기회를 창출할 수도 있습니다.",4차 산업혁명과 고용 시장에 대한 논의 중 제기됨【5†source】.
국가채무 홍보의 투명성을 어떻게 강화할 수 있나요?,국세 세입예산안에 지하경제 양성화 효과를 투명하게 반영하여 국민 혼란을 줄여야 합니다.,국정 감사에서 국세 세입예산안 관련 논의 .
대한체육회의 적폐 청산 방안은 무엇입니까?,조사를 통해 투명한 운영 방안을 마련하고 적법하게 처리할 예정입니다.,체육 정상화와 적폐 청산 관련 논의 중 .
남북 비핵화 협상에서 신뢰 구축 방안은 무엇인가요?,신뢰를 쌓아가는 구체적 조치를 마련하여 북핵 협상을 촉진해야 합니다.,남북 비핵화 협상 관련 질의 .
SOC 예산 감소의 경제적 효과에 대한 정부 입장은 무엇입니까?,정부는 선택과 집중을 통해 SOC 투자의 효율성을 고려하고 있습니다.,SOC 예산 감소와 관련된 경제적 논의 중 .
공공보건의료기관의 기능 확충 방안은 무엇입니까?,정부는 공공보건의료기관의 기능을 강화하고 지역보건소의 역할을 확대할 것입니다.,보건의료기관 기능 확충 관련 논의 .
한국과 인도네시아의 무역 감소 원인은 무엇입니까?,무역액 감소는 분야 다양성 부족과 방산 협력 약화로 분석됩니다.,한-인도네시아 무역 관련 질문 .
가사노동자의 법적 보호를 강화하기 위한 방안은 무엇인가요?,가사노동자의 법적 보호를 강화하기 위한 법안이 마련되고 있습니다.,노동 보호와 관련된 정책 논의 .
발달장애인에 대한 인식 개선 사업이 제대로 시행되지 않는 이유는 무엇입니까?,발달장애인 인식 개선 사업의 미비는 정부의 정책 우선순위 조정에 기인합니다.,발달장애인 인식 개선 관련 정책 질의 .
국토개발 연구원은 정치적 어려움을 어떻게 극복하고 있습니까?,정치적 논리로 인한 어려움을 극복하기 위해 연구원은 아이디어를 제안하고 있습니다.,국토개발 연구원의 정치적 어려움 극복 관련 질의 .
미군기지 내 문화재 보호 계획은 무엇인가요?,문화재청은 미군기지 내 문화재 보호를 위해 조사와 협력을 진행 중입니다.,미군기지 문화재 보호 관련 논의 .
보훈섬김이들의 근태관리 문제가 어떻게 개선될 예정인가요?,국감 이후 합리적인 근태관리 방안을 마련할 예정입니다.,보훈섬김이들의 근태관리 문제 논의 .
광어 양식어가들의 이미지를 개선하기 위한 대책은 무엇입니까?,광어 양식어가들의 이미지를 개선하기 위해 안전성 강화 및 검사 절차를 개선하고 있습니다.,광어 양식어가 이미지 개선 관련 질의 .
서울교통공사의 정규직 전환으로 인한 비용 증가는 어떻게 검토되고 있습니까?,정규직 전환으로 인한 비용 증가는 기재부와 협의를 통해 검토 중입니다.,서울교통공사 정규직 전환 관련 논의 .
외부 위원 구성을 고려한 인권위의 정책은 무엇입니까?,인권위는 공정성과 객관성을 유지하기 위해 신중한 인사 정책을 추구하고 있습니다.,인권위원회의 인사 정책 논의 .
여성 청소년 실종 사건 예방을 위한 대책은 무엇인가요?,여성 청소년 실종 사건 예방을 위해 전담팀 간 협조를 강화하고 있습니다.,여성 청소년 실종 사건 예방 대책 관련 질의 .
